,Sample,Area,Feret,Perim.,Major,Minor,Width,Height,Min,Max,AR,Circ.,Round,Solidity,Morph,Upper_CMBS,Lower_CMBS
1,AC8_RE_01,6554.706,162.468,486.548,151.597,55.052,160.714,77.381,4,70,2.754,0.348,0.363,0.728,Indeterminate,170,160
2,AC8_RE_01,23171.77,206.282,653.463,191.449,154.105,190.476,196.429,0,60,1.242,0.682,0.805,0.874,Irregular,170,160
3,AC8_RE_01,13357.427,170.45,560.865,147.359,115.413,130.952,154.762,1,78,1.277,0.534,0.783,0.835,Irregular,170,160
4,AC8_RE_01,23030.047,231.837,766.383,204.581,143.331,190.476,196.429,2,55,1.427,0.493,0.701,0.86,Irregular,170,160
5,AC8_RE_01,21223.074,186.814,595.135,169.714,159.221,178.571,166.667,7,61,1.066,0.753,0.938,0.917,Indeterminate,170,160
6,AC8_RE_01,16829.65,237.648,637.225,183.128,117.012,148.81,220.238,1,56,1.565,0.521,0.639,0.776,Irregular,170,160
7,AC8_RE_01,24978.743,222.877,642.156,212.021,150.003,190.476,196.429,1,63,1.413,0.761,0.707,0.928,Indeterminate,170,160
8,AC8_RE_01,9849.774,163.447,460.696,158.918,78.916,130.952,142.857,14,88,2.014,0.583,0.497,0.844,Indeterminate,170,160
9,AC8_RE_01,23171.77,216.343,663.325,189.776,155.463,214.286,172.619,1,48,1.221,0.662,0.819,0.876,Irregular,170,160
10,AC8_RE_01,13073.98,185.386,649.976,161.098,103.331,184.524,154.762,2,46,1.559,0.389,0.641,0.727,Irregular,170,160
11,AC8_RE_01,19203.516,219.028,648.532,179.837,135.96,160.714,190.476,2,57,1.323,0.574,0.756,0.829,Irregular,170,160
12,AC8_RE_01,45351.477,388.732,1009.161,368.676,156.623,172.619,357.143,0,44,2.354,0.56,0.425,0.891,Irregular,170,160
13,AC8_RE_01,124574.838,430.592,1469.507,408.42,388.359,410.714,428.571,0,53,1.052,0.725,0.951,0.943,Indeterminate,170,160
14,AC8_RE_01,26573.131,251.202,886.875,212.775,159.013,232.143,244.048,1,40,1.338,0.425,0.747,0.747,Irregular,170,160
